id,root,category ,content_level,image_name,origin,characters,companies,artist,classifications,materials,release_year,release_month,release_day,notaxprice,size ,link
0,goods ,on walls,nsfw,kino.jpeg,original,,melonbooks,kino,tapestry,double suede,2023,5,,2691,b2,https://www.melonbooks.co.jp/detail/detail.php?product_id=1886372
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,